Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
18.500000,2.839511,95.463225,95.505446,3.065765,73.966928,3.065765,73.966928
18.666667,2.894863,96.709359,96.752676,3.127177,74.906179,3.127177,74.906179
18.833333,2.951574,97.963828,98.008282,3.189974,75.849270,3.189974,75.849270
19.000000,3.009688,99.226904,99.272538,3.254194,76.796401,3.254194,76.796401
19.166667,3.069249,100.498858,100.545715,3.319878,77.747763,3.319878,77.747763
19.333333,3.130346,101.779923,101.828050,3.387111,78.703518,3.387111,78.703518
19.500000,3.192955,103.070437,103.119881,3.455860,79.663892,3.455860,79.663892
19.666667,3.257162,104.370633,104.421445,3.526208,80.629037,3.526208,80.629037
19.833333,3.323023,105.680782,105.733014,3.598206,81.599124,3.598206,81.599124
20.000000,3.390569,107.001150,107.054855,3.671885,82.574308,3.671885,82.574308
20.166667,3.459910,108.332016,108.387253,3.747339,83.554780,3.747339,83.554780
20.333333,3.531086,109.673655,109.730484,3.824607,84.540693,3.824607,84.540693
20.500000,3.604164,111.026344,111.084829,3.903748,85.532210,3.903748,85.532210
20.666667,3.679214,112.390368,112.450573,3.984825,86.529494,3.984825,86.529494
20.833333,3.756309,113.766011,113.828007,4.067903,87.532706,4.067903,87.532706
21.000000,3.835525,115.153566,115.217425,4.153052,88.542008,4.153052,88.542008
21.166667,3.916944,116.553328,116.619127,4.240344,89.557563,4.240344,89.557563
21.333333,4.000569,117.965600,118.033416,4.329781,90.579503,4.329781,90.579503
21.500000,4.086642,119.390680,119.460600,4.421582,91.608042,4.421582,91.608042
21.666667,4.175184,120.828885,120.901000,4.515763,92.643323,4.515763,92.643323
21.833333,4.266292,122.280535,122.354937,4.612412,93.685510,4.612412,93.685510
22.000000,4.360071,123.745954,123.822741,4.711620,94.734769,4.711620,94.734769
22.166667,4.456628,125.225473,125.304751,4.813482,95.791270,4.813482,95.791270
22.333333,4.556078,126.719431,126.801309,4.918100,96.855181,4.918100,96.855181
22.500000,4.658540,128.228174,128.312769,5.025579,97.926675,5.025579,97.926675
22.666667,4.764143,129.752056,129.839490,5.136032,99.005925,5.136032,99.005925
22.833333,4.873018,131.291439,131.381842,5.249575,100.093107,5.249575,100.093107
23.000000,4.985307,132.846693,132.940202,5.366332,101.188400,5.366332,101.188400
23.166667,5.101158,134.418198,134.514957,5.486433,102.291983,5.486433,102.291983
23.333333,5.220727,136.006340,136.106504,5.610013,103.404039,5.610013,103.404039
23.500000,5.344179,137.611517,137.715249,5.737218,104.524753,5.737218,104.524753
23.666667,5.471690,139.234136,139.341609,5.868199,105.654313,5.868199,105.654313
23.833333,5.603442,140.874613,140.986010,6.003116,106.792909,6.003116,106.792909
24.000000,5.739632,142.533375,142.648892,6.142140,107.940734,6.142140,107.940734
24.166667,5.880464,144.210859,144.330703,6.285447,109.097983,6.285447,109.097983
24.333333,6.026157,145.907514,146.031905,6.433226,110.264854,6.433226,110.264854
24.500000,6.176942,147.623797,147.752970,6.585678,111.441547,6.585678,111.441547
24.666667,6.333063,149.360180,149.494385,6.743012,112.628265,6.743012,112.628265
24.833333,6.494777,151.117143,151.256646,6.905452,113.825212,6.905452,113.825212
25.000000,6.662361,152.895180,153.040266,7.073233,115.032596,7.073233,115.032596
25.166667,6.836104,154.694795,154.845768,7.246605,116.250624,7.246605,116.250624
25.333333,7.016315,156.516506,156.673690,7.425832,117.479509,7.425832,117.479509
25.500000,7.203321,158.360841,158.524585,7.611195,118.719460,7.611195,118.719460
25.666667,7.397471,160.228343,160.399016,7.802992,119.970692,7.802992,119.970692
25.833333,7.599132,162.119564,162.297566,8.001536,121.233417,8.001536,121.233417
26.000000,7.808698,164.035070,164.220827,8.207163,122.507849,8.207163,122.507849
