Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
30.500000,163.046506,1385.072239,1394.635892,53.388547,472.601429,53.388547,472.601429
30.666667,191.891353,1487.666907,1499.991706,55.932872,480.939133,55.932872,480.939133
30.833333,229.609394,1608.300778,1624.608219,58.640754,489.483109,58.640754,489.483109
31.000000,280.218134,1752.155639,1774.421480,61.524616,498.237526,61.524616,498.237526
31.166667,350.226124,1926.441572,1958.018250,64.597791,507.206079,64.597791,507.206079
31.333333,450.670416,2141.315411,2188.226568,67.874548,516.391860,67.874548,516.391860
31.500000,601.292029,2411.061849,2484.908719,71.370132,525.797212,71.370132,525.797212
31.666667,839.627246,2754.871156,2879.980729,75.100736,535.423564,75.100736,535.423564
31.833333,1241.893983,3193.275904,3426.267891,79.083499,545.271243,79.083499,545.271243
32.000000,1971.147186,3720.219527,4210.160871,83.336467,555.339260,83.336467,555.339260
32.166667,3360.362610,4155.665312,5344.304544,87.676069,565.664859,87.676069,565.664859
32.333333,5726.359227,3589.723016,6758.498452,92.729083,576.124383,92.729083,576.124383
32.500000,7396.558565,487.118864,7412.581425,97.908286,586.830772,97.908286,586.830772
32.666667,5751.652994,-2525.956983,6281.876379,103.214372,597.785568,103.214372,597.785568
32.833333,3533.430116,-3115.959623,4711.086154,109.333465,608.827348,109.333465,608.827348
33.000000,2207.514785,-2775.496572,3546.336524,115.619267,620.092058,115.619267,620.092058
33.166667,1486.960124,-2323.528968,2758.593351,122.068946,631.575603,122.068946,631.575603
33.333333,1076.702911,-1934.303083,2213.779026,129.429663,643.068125,129.429663,643.068125
33.500000,827.217650,-1622.103016,1820.853436,136.985646,654.735452,136.985646,654.735452
33.666667,666.527845,-1372.985446,1526.220300,144.724978,666.567408,144.724978,666.567408
33.833333,558.662289,-1171.973835,1298.316688,153.454025,678.295233,153.454025,678.295233
34.000000,483.373192,-1007.042664,1117.042779,162.374924,690.126219,162.374924,690.126219
34.166667,429.545550,-869.560227,969.868222,171.749433,701.947260,171.749433,701.947260
34.333333,390.366835,-753.242328,848.386864,181.565504,713.724614,181.565504,713.724614
34.500000,361.537472,-653.510097,746.849912,191.802913,725.425667,191.802913,725.425667
34.666667,340.234189,-566.981861,661.231982,202.432648,737.020765,202.432648,737.020765
34.833333,324.536437,-491.120357,588.662130,213.416690,748.485382,213.416690,748.485382
35.000000,313.095210,-423.990053,527.063730,224.708247,759.802529,224.708247,759.802529
35.166667,304.934748,-364.089253,474.917029,236.252618,770.965297,236.252618,770.965297
35.333333,299.330095,-310.232497,431.094778,247.988701,781.979380,247.988701,781.979380
35.500000,295.729694,-261.467101,394.741810,259.851258,792.865337,259.851258,792.865337
35.666667,293.705502,-217.013143,365.181634,271.773753,803.660450,271.773753,803.660450
35.833333,292.920478,-176.219967,341.841898,283.691795,814.419888,283.691795,814.419888
36.000000,293.107259,-138.534431,324.196937,295.546914,825.217058,295.546914,825.217058
36.166667,294.053988,-103.477766,311.729684,307.290348,836.143077,307.290348,836.143077
36.333333,295.594923,-70.628838,303.915764,318.886728,847.305280,318.886728,847.305280
36.500000,297.603970,-39.612094,300.228648,330.317196,858.824979,330.317196,858.824979
36.666667,299.990029,-10.089092,300.159636,341.581902,870.834568,341.581902,870.834568
36.833333,302.693418,18.247465,303.242931,352.701578,883.474337,352.701578,883.474337
37.000000,305.682833,45.677879,309.076791,363.718335,896.889200,363.718335,896.889200
37.166667,308.952569,72.458469,317.335658,374.695558,911.225723,374.695558,911.225723
37.333333,312.519961,98.823831,327.772598,385.717248,926.629600,385.717248,926.629600
37.500000,316.422948,124.988812,340.214175,396.886910,943.243805,396.886910,943.243805
37.666667,320.717800,151.150349,354.550892,408.326244,961.207523,408.326244,961.207523
37.833333,325.477246,177.489323,370.726176,420.174034,980.655780,420.174034,980.655780
38.000000,330.788896,204.172578,388.725784,432.585256,1001.719836,432.585256,1001.719836
38.166667,336.754273,231.354994,408.568934,445.730837,1024.528118,445.730837,1024.528118
38.333333,343.488340,259.181715,430.301524,459.798062,1049.207639,459.798062,1049.207639
38.500000,351.119801,287.790373,453.991645,474.991855,1075.885721,474.991855,1075.885721
38.666667,359.791987,317.313360,479.727050,491.536957,1104.691952,491.536957,1104.691952
38.833333,369.664683,347.879983,507.614480,509.681279,1135.760097,509.681279,1135.760097
39.000000,380.916771,379.618484,537.780419,529.700402,1169.229989,529.700402,1169.229989
39.166667,393.749839,412.657848,570.373067,551.903383,1205.249229,551.903383,1205.249229
39.333333,408.392992,447.129293,605.565389,576.640335,1243.974395,576.640335,1243.974395
39.500000,425.108867,483.167343,643.559034,604.311619,1285.571901,604.311619,1285.571901
39.666667,444.201356,520.910203,684.589136,635.379621,1330.217795,635.379621,1330.217795
39.833333,466.025084,560.499459,728.930053,670.383022,1378.096592,670.383022,1378.096592
40.000000,490.997401,602.078303,776.902008,709.954820,1429.398154,709.954820,1429.398154
40.166667,519.613237,645.788068,828.878849,754.844595,1484.311961,754.844595,1484.311961
40.333333,552.463660,691.762013,885.297000,805.946302,1543.017373,805.946302,1543.017373
40.500000,590.259107,740.114831,946.665610,864.333084,1605.667567,864.333084,1605.667567
40.666667,633.858081,790.925948,1013.577783,931.300219,1672.364236,931.300219,1672.364236
40.833333,684.302575,844.212812,1086.722267,1008.418178,1743.117248,1008.418178,1743.117248
41.000000,742.860320,899.888695,1166.893790,1097.595962,1817.781249,1097.595962,1817.781249
41.166667,811.072093,957.697091,1254.998668,1201.151983,1895.957040,1201.151983,1895.957040
41.333333,890.797225,1017.111776,1352.048838,1321.882259,1976.841608,1321.882259,1976.841608
41.500000,984.241466,1077.192965,1459.135342,1463.102171,2059.012252,1463.102171,2059.012252
41.666667,1093.942650,1136.403781,1577.378862,1628.624949,2140.151244,1628.624949,2140.151244
41.833333,1222.706357,1192.414337,1707.882545,1822.665061,2216.751859,1822.665061,2216.751859
42.000000,1373.543373,1241.897623,1851.737320,2049.744490,2283.812232,2049.744490,2283.812232
42.166667,1549.651635,1280.178454,2010.044045,2314.665521,2334.308703,2314.665521,2334.308703
42.333333,1754.214820,1300.516116,2183.715138,2622.208678,2358.119749,2622.208678,2358.119749
42.500000,1989.526266,1293.140069,2372.851871,2975.818541,2340.579585,2975.818541,2340.579585
42.666667,2255.152087,1244.588095,2575.793171,3374.848368,2261.485384,3374.848368,2261.485384
42.833333,2545.171616,1138.012264,2788.004747,3810.420789,2095.556354,3810.420789,2095.556354
43.000000,2844.821584,955.329072,3000.943765,4260.394098,1815.659054,4260.394098,1815.659054
43.166667,3127.772715,682.306781,3201.328583,4685.277558,1400.438613,4685.277558,1400.438613
43.333333,3356.833744,316.739875,3371.743901,5029.287681,846.580198,5029.287681,846.580198
43.500000,3491.425744,-123.229253,3493.599744,5231.560195,181.291158,5231.560195,181.291158
43.666667,3501.783292,-597.222956,3552.345913,5247.451648,-534.868790,5247.451648,-534.868790
43.833333,3382.716877,-1052.501894,3542.673243,5069.182223,-1222.798405,5069.182223,-1222.798405
44.000000,3156.623439,-1441.982004,3470.386670,4730.350486,-1811.880024,4730.350486,-1811.880024
44.166667,2863.050804,-1738.727588,3349.661705,4290.279892,-2261.718170,4290.279892,-2261.718171
44.333333,2543.081887,-1938.697125,3197.782361,3810.595550,-2566.257470,3810.595550,-2566.257470
44.500000,2228.412559,-2053.877767,3030.550513,3338.841812,-2743.484504,3338.841812,-2743.484504
44.666667,1938.207499,-2103.047943,2859.975343,2903.766436,-2821.571928,2903.766436,-2821.571928
44.833333,1681.096476,-2105.084824,2693.968723,2518.315070,-2828.840110,2518.315070,-2828.840110
45.000000,1458.761789,-2075.750695,2537.070536,2185.012300,-2788.936864,2185.012300,-2788.936864
45.166667,1269.094727,-2026.901455,2391.428639,1900.696310,-2719.650277,1900.696310,-2719.650277
45.333333,1108.345673,-1966.877414,2257.661819,1659.743868,-2633.494982,1659.743868,-2633.494982
45.500000,972.372505,-1901.281327,2135.504384,1455.942908,-2538.879127,1455.942908,-2538.879127
