Freq.Sweep,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy,POI 230kV FirstEnergy
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm","Z1 in Ohm","Z2 in Ohm","Z0 in Ohm"
24.666667,287.791141,-579.708541,647.213824,151.043426,810.544365,151.043426,810.544365,824.497595,824.497595,3406.754421
24.833333,263.810436,-460.796858,530.970518,163.219836,837.168014,163.219836,837.168014,852.930829,852.930829,3091.875790
25.000000,248.588699,-358.095036,435.922465,176.687224,865.025925,176.687224,865.025925,882.886304,882.886304,2831.639963
25.166667,239.825582,-267.670016,359.393305,191.595913,894.165150,191.595913,894.165150,914.461760,914.461760,2613.052946
25.333333,236.076562,-186.681341,300.968547,208.112258,924.628159,208.112258,924.628159,947.759434,947.759434,2426.914283
25.500000,236.420798,-113.032435,262.051761,226.419519,956.451226,226.419519,956.451226,982.885927,982.885927,2266.534207
25.666667,240.271743,-45.146391,244.476394,246.718337,989.662809,246.718337,989.662809,1019.952162,1019.952162,2126.935763
25.833333,247.264737,18.181649,247.932294,269.227192,1024.281890,269.227192,1024.281890,1059.073496,1059.073496,2004.341670
26.000000,257.187620,77.884064,268.721788,294.182411,1060.316588,294.182411,1060.316588,1100.370192,1100.370192,1895.834520
26.166667,269.936589,134.689489,301.673699,321.838062,1097.763197,321.838062,1097.763197,1143.968433,1143.968433,1799.125873
26.333333,285.487355,189.171509,342.474655,352.465813,1136.605951,352.465813,1136.605951,1190.002201,1190.002201,1712.395722
26.500000,303.876058,241.784193,388.330084,386.355208,1176.817766,386.355208,1176.817766,1238.616325,1238.616325,1634.178595
26.666667,325.186837,292.888987,437.641906,423.814713,1218.362307,423.814713,1218.362307,1289.971171,1289.971171,1563.281246
26.833333,349.544546,342.775912,489.567886,465.174536,1261.197439,465.174536,1261.197439,1344.249355,1344.249355,1498.722203
27.000000,377.112043,391.680854,543.716272,510.792340,1305.279901,510.792340,1305.279901,1401.664879,1401.664879,1439.686694
27.166667,408.091992,439.800028,599.969282,561.062924,1350.570868,561.062924,1350.570868,1462.475051,1462.475051,1385.492601
27.333333,442.733743,487.301725,658.389048,616.433698,1397.041164,616.433698,1397.041164,1526.995258,1526.995258,1335.564412
27.500000,481.345944,534.334834,719.171491,677.427391,1444.674418,677.427391,1444.674418,1595.616509,1595.616509,1289.413088
27.666667,524.315399,581.033050,782.627653,744.673187,1493.465825,744.673187,1493.465825,1668.825433,1668.825433,1246.620331
27.833333,572.133104,627.512493,849.180910,818.947945,1543.412619,818.947945,1543.412619,1747.225872,1747.225872,1206.826194
28.000000,625.427545,673.860221,919.373271,901.227782,1594.492057,901.227782,1594.492057,1831.561202,1831.561202,1169.719224
28.166667,685.005269,720.109839,993.876451,992.750230,1646.621069,992.750230,1646.621069,1922.736062,1922.736062,1135.028575
28.333333,751.898404,766.199142,1073.504697,1095.086530,1699.589574,1095.086530,1699.589574,2021.835608,2021.835608,1102.517643
28.500000,827.417728,811.902589,1159.226428,1210.222015,1752.956738,1210.222015,1752.956738,2130.139585,2130.139585,1071.978899
28.666667,913.207769,856.729027,1252.171336,1340.639434,1805.895445,1340.639434,1805.895445,2249.127042,2249.127042,1043.229664
28.833333,1011.297122,899.769526,1353.627375,1489.394944,1856.962367,1489.394944,1856.962367,2380.463512,2380.463512,1016.108627
29.000000,1124.128435,939.474905,1465.018033,1660.163525,1903.762863,1660.163525,1903.762863,2525.956446,2525.956446,990.472961
29.166667,1254.536328,973.336970,1587.843272,1857.206171,1942.471594,1857.206171,1942.471594,2687.454307,2687.454307,966.195906
29.333333,1405.612159,997.443787,1723.554365,2085.167414,1967.164504,2085.167414,1967.164504,2866.646007,2866.646007,943.164739
29.500000,1580.343466,1005.894699,1873.315141,2348.534571,1968.940395,2348.534571,1968.940395,3064.692629,3064.692629,921.279038
29.666667,1780.840256,990.116814,2037.577807,2650.477449,1934.895070,2650.477449,1934.895070,3281.592546,3281.592546,900.449192
29.833333,2006.879360,938.275953,2215.384059,2990.664849,1847.237147,2990.664849,1847.237147,3515.161635,3515.161635,880.595119
30.000000,2253.497618,835.293238,2403.324012,3361.654523,1683.312768,3361.654523,1683.312768,3759.556225,3759.556225,861.645131
30.166667,2507.686866,664.479640,2594.229482,3743.935706,1418.057176,3743.935706,1418.057176,4003.491068,4003.491068,843.534949
30.333333,2745.279334,412.169785,2776.048010,4101.258095,1030.945796,4101.258095,1030.945796,4228.849394,4228.849394,826.206822
30.500000,2930.956461,75.954213,2931.940453,4380.646015,518.342177,4380.646015,518.342177,4411.205971,4411.205971,809.608755
30.666667,3025.431502,-326.211921,3042.967301,4523.174045,-92.840188,4523.174045,-92.840188,4524.126738,4524.126738,793.693814
30.833333,3000.529497,-753.444330,3093.679948,4486.586942,-741.293783,4486.586942,-741.293783,4547.414525,4547.414525,778.419519
31.000000,2854.250240,-1152.700528,3078.223991,4267.892261,-1347.475581,4267.892261,-1347.475581,4475.555250,4475.555250,763.747304
31.166667,2613.328897,-1478.888677,3002.765332,3907.198087,-1843.770011,3907.198087,-1843.770011,4320.380162,4320.380162,749.642037
31.333333,2320.319539,-1710.026872,2882.373097,3468.337136,-2197.225067,3468.337136,-2197.225067,4105.747250,4105.747250,736.071605
31.500000,2016.032126,-1848.132756,2734.955249,3012.523692,-2410.884802,3012.523692,-2410.884802,3858.453644,3858.453644,723.006554
