Freq.Sweep,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE,POI 138 kV-ACE
"Rated Frequency","R, Re(Z) in Ohm","X, Im(Z) in Ohm","Z, Magnitude in Ohm","R1 in Ohm","X1 in Ohm","R2 in Ohm","X2 in Ohm"
29.333333,12.930023,207.156231,207.559364,13.093886,149.461331,13.093886,149.461331
29.500000,13.387973,209.713825,210.140730,13.513411,151.005921,13.513411,151.005921
29.666667,13.868966,212.310462,212.762968,13.952366,152.564825,13.952366,152.564825
29.833333,14.374420,214.946772,215.426876,14.411886,154.137844,14.411886,154.137844
30.000000,14.905841,217.623339,218.133221,14.893172,155.724699,14.893172,155.724699
30.166667,15.464824,220.340694,220.882734,15.397491,157.325024,15.397491,157.325024
30.333333,16.053061,223.099301,223.676103,15.926176,158.938351,15.926176,158.938351
30.500000,16.672338,225.899547,226.513955,16.480627,160.564098,16.480627,160.564098
30.666667,17.324539,228.741721,229.396850,17.062308,162.201551,17.062308,162.201551
30.833333,18.011646,231.626007,232.325261,17.672745,163.849845,17.672745,163.849845
31.000000,18.735734,234.552457,235.299560,18.313520,165.507950,18.313520,165.507950
31.166667,19.498974,237.520974,238.320001,18.986265,167.174641,18.986265,167.174641
31.333333,20.303618,240.531288,241.386697,19.692646,168.848484,19.692646,168.848484
31.500000,21.151999,243.582933,244.499596,20.434359,170.527802,20.434359,170.527802
31.666667,22.046508,246.675220,247.658459,21.213100,172.210654,21.213100,172.210654
31.833333,22.989584,249.807205,250.862832,22.030548,173.894804,22.030548,173.894804
32.000000,23.983688,252.977664,254.112014,22.888334,175.577693,22.888334,175.577693
32.166667,25.006130,256.187845,257.405359,23.750293,177.260592,23.750293,177.260592
32.333333,26.134736,259.427499,260.740583,24.730969,178.927656,24.730969,178.927656
32.500000,27.296399,262.702732,264.117055,25.718457,180.587733,25.718457,180.587733
32.666667,28.492343,266.011336,267.532885,26.712321,182.237376,26.712321,182.237376
32.833333,29.802761,269.340480,270.984315,27.830569,183.857399,27.830569,183.857399
33.000000,31.151065,272.696364,274.469845,28.956067,185.457376,28.956067,185.457376
33.166667,32.537609,276.075511,277.986302,30.087145,187.032604,30.087145,187.032604
33.333333,34.044171,279.462183,281.528183,31.344380,188.560233,31.344380,188.560233
33.500000,35.589936,282.862798,285.092978,32.604600,190.050914,32.604600,190.050914
33.666667,37.173480,286.272658,288.676121,33.863940,191.498890,33.863940,191.498890
33.833333,38.877009,289.673181,292.270378,35.244247,192.877843,35.244247,192.877843
34.000000,40.614504,293.071551,295.872391,36.615384,194.200364,36.615384,194.200364
34.166667,42.410299,296.457531,299.475711,38.013175,195.453144,38.013175,195.453144
34.333333,44.259612,299.825293,303.074445,39.430282,196.629678,39.430282,196.629678
