DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.367945,3.058811,-3.466992
0.282859,3.114403,-3.436732
0.191047,3.172365,-3.401653
0.096919,3.230040,-3.364147
0.009170,3.282508,-3.328548
-0.067449,3.327107,-3.297183
-0.132198,3.363139,-3.269964
-0.189191,3.392476,-3.244194
-0.243225,3.417660,-3.217014
-0.300138,3.441923,-3.185290
-0.362754,3.466631,-3.147299
-0.431314,3.491721,-3.102763
-0.503056,3.515468,-3.052984
-0.575884,3.536485,-2.999048
-0.649801,3.554686,-2.941293
-0.727714,3.571839,-2.878928
-0.811890,3.589470,-2.811425
-0.902275,3.607972,-2.739253
-0.995910,3.626208,-2.664094
-1.089207,3.642732,-2.587862
-1.179702,3.656574,-2.511826
-1.266146,3.667221,-2.436545
-1.347535,3.674257,-2.362486
-1.422912,3.677404,-2.290266
-1.491460,3.676327,-2.220365
-1.552434,3.670580,-2.153116
-1.606162,3.660116,-2.088191
-1.654145,3.645310,-2.024494
-1.699571,3.627333,-1.960012
-1.745911,3.607583,-1.892680
-1.795417,3.586861,-1.821066
-1.847280,3.564505,-1.745371
-1.899053,3.539135,-1.666750
-1.947888,3.509297,-1.586689
-1.993307,3.474891,-1.505638
-2.036881,3.436976,-1.423080
-2.081847,3.397509,-1.337653
-2.130731,3.358199,-1.248394
-2.185241,3.320319,-1.154730
-2.244780,3.283848,-1.057172
-2.307601,3.248088,-0.956808
-2.370836,3.211744,-0.855353
-2.432148,3.173793,-0.754319
-2.489390,3.133433,-0.655259
-2.541248,3.090284,-0.559250
-2.585789,3.043568,-0.467492
-2.621579,2.992623,-0.380671
-2.647310,2.936658,-0.299110
-2.663275,2.875523,-0.222120
-2.670563,2.809431,-0.148589
-2.671208,2.739055,-0.076980
-2.666511,2.664820,-0.006322
-2.657818,2.587320,0.064135
-2.645769,2.506866,0.134643
-2.631640,2.424136,0.205669
-2.616957,2.339992,0.277717
-2.604209,2.255778,0.351758
-2.595494,2.172709,0.428505
-2.592540,2.091872,0.508449
-2.595039,2.013357,0.591091
-2.601453,1.936700,0.675332
-2.609053,1.860893,0.759498
-2.615606,1.785190,0.842227
-2.619396,1.709123,0.922432
-2.620003,1.632825,0.999731
-2.617033,1.556318,1.073847
-2.610426,1.479669,1.144731
-2.599541,1.402467,1.212155
-2.583752,1.324145,1.276004
-2.562093,1.243887,1.336026
-2.534052,1.161112,1.392186
-2.499002,1.075240,1.444356
-2.456894,0.986123,1.492592
-2.407639,0.893658,1.536916
-2.351764,0.798093,1.577651
-2.290216,0.699901,1.615336
-2.224987,0.600064,1.651044
-2.158377,0.499730,1.685975
-2.093010,0.400300,1.721367
-2.030623,0.302815,1.757897
-1.972137,0.208049,1.795664
-1.917327,0.116311,1.834066
-1.865566,0.027748,1.872249
-1.815885,-0.057669,1.909205
-1.767711,-0.139812,1.944184
-1.720400,-0.218717,1.976549
-1.673423,-0.294474,2.005856
-1.625792,-0.367560,2.031604
-1.576262,-0.438737,2.053342
-1.523240,-0.509042,2.070566
-1.465493,-0.579386,2.083029
-1.402100,-0.650540,2.090672
-1.332892,-0.722839,2.093761
-1.258092,-0.796381,2.092700
-1.178380,-0.870995,2.088048
-1.094530,-0.946437,2.080328
-1.007610,-1.022308,2.070149
-0.918604,-1.098233,2.058009
-0.828612,-1.173693,2.044356
-0.738432,-1.248210,2.029393
-0.648659,-1.321271,2.013126
-0.559522,-1.392399,1.995293
-0.471187,-1.461083,1.975597
-0.383770,-1.526814,1.953737
-0.297762,-1.588938,1.929653
-0.213804,-1.646825,1.903435
-0.132648,-1.699903,1.875299
-0.054716,-1.747864,1.845337
0.020055,-1.790756,1.813471
0.092389,-1.829020,1.779338
0.163305,-1.863308,1.742497
0.234003,-1.894419,1.702503
0.305419,-1.923062,1.659128
0.378188,-1.949827,1.612366
0.452559,-1.975170,1.562487
0.528568,-1.999456,1.509896
0.606011,-2.022960,1.455131
0.684657,-2.045920,1.398711
0.764119,-2.068427,1.341133
0.843976,-2.090425,1.282769
0.923749,-2.111679,1.223853
1.003018,-2.131802,1.164398
1.081379,-2.150283,1.104267
1.158552,-2.166587,1.043171
1.234206,-2.180130,0.980807
1.308034,-2.190380,0.916888
1.379723,-2.196878,0.851204
1.449076,-2.199291,0.783559
1.516048,-2.197454,0.713792
1.580841,-2.191396,0.641723
1.643730,-2.181255,0.567243
1.705003,-2.167264,0.490366
1.764750,-2.149642,0.411314
1.822815,-2.128569,0.330525
1.878826,-2.104208,0.248612
1.932380,-2.076761,0.166231
1.983139,-2.046496,0.083986
2.031022,-2.013810,0.002321
2.076147,-1.979153,-0.078499
2.118793,-1.942972,-0.158372
2.159278,-1.905629,-0.237305
2.197893,-1.867346,-0.315388
