DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.693733,2.631929,-3.361766
0.633003,2.678849,-3.350682
0.569931,2.726702,-3.337425
0.503031,2.776203,-3.320708
0.430751,2.827980,-3.299520
0.349644,2.883726,-3.272512
0.261674,2.942016,-3.241014
0.172597,2.999320,-3.208107
0.091972,3.050319,-3.178627
0.024900,3.092419,-3.155178
-0.028204,3.125386,-3.137531
-0.072290,3.151670,-3.122424
-0.113326,3.174328,-3.106102
-0.158281,3.196884,-3.084504
-0.210869,3.220761,-3.055155
-0.271694,3.245730,-3.017468
-0.337879,3.269852,-2.972934
-0.406812,3.291616,-2.923281
-0.477858,3.310994,-2.869666
-0.553225,3.329906,-2.812122
-0.634630,3.350075,-2.750692
-0.721659,3.371998,-2.686060
-0.811239,3.394466,-2.619719
-0.899743,3.415713,-2.553167
-0.984760,3.434312,-2.487163
-1.065145,3.449270,-2.421807
-1.140168,3.459863,-2.357183
-1.209241,3.465761,-2.293676
-1.272018,3.466873,-2.231648
-1.328159,3.463165,-2.171444
-1.378289,3.455085,-2.112833
-1.423968,3.443407,-2.054909
-1.468230,3.429534,-1.995908
-1.514127,3.414841,-1.934084
-1.563338,3.399889,-1.868355
-1.614405,3.383626,-1.799276
-1.664356,3.364268,-1.728259
-1.710013,3.340032,-1.656912
-1.750894,3.310678,-1.585602
-1.788889,3.277326,-1.513530
-1.827867,3.242193,-1.438854
-1.871118,3.207339,-1.360052
-1.921076,3.174382,-1.276041
-1.977585,3.143500,-1.187022
-2.038979,3.114025,-1.094046
-2.102098,3.084522,-0.999085
-2.164093,3.053753,-0.904096
-2.222244,3.020702,-0.811138
-2.274813,2.984872,-0.721692
-2.319659,2.945468,-0.637148
-2.355441,2.901915,-0.558104
-2.381132,2.853525,-0.484565
-2.397411,2.800224,-0.415380
-2.405717,2.742223,-0.348979
-2.408342,2.680128,-0.283474
-2.406686,2.614254,-0.217750
-2.402052,2.545105,-0.151137
-2.394890,2.472947,-0.083671
-2.386203,2.398484,-0.015296
-2.377193,2.322650,0.054056
-2.370035,2.246880,0.124993
-2.366545,2.172436,0.198004
-2.368223,2.100377,0.273510
-2.374593,2.030656,0.351081
-2.384036,1.962612,0.429778
-2.393848,1.895024,0.508141
-2.401957,1.826996,0.585037
-2.406946,1.758033,0.659609
-2.408817,1.688386,0.731697
-2.407652,1.618311,0.801237
-2.403830,1.548165,0.868352
-2.396996,1.477789,0.932921
-2.386600,1.406763,0.994833
-2.371519,1.334284,1.053725
-2.350916,1.259661,1.109356
-2.323763,1.182137,1.161332
-2.289649,1.101384,1.209457
-2.248245,1.017160,1.253572
-2.200002,0.929649,1.293937
-2.145939,0.839324,1.331161
-2.088217,0.747206,1.366495
-2.029313,0.654480,1.401359
-1.971978,0.562562,1.437187
-1.917963,0.472459,1.474762
-1.868085,0.384882,1.514147
-1.821920,0.300058,1.554578
-1.778597,0.218069,1.594945
-1.736915,0.138846,1.633964
-1.696155,0.062525,1.670671
-1.655631,-0.010898,1.704341
-1.614894,-0.081461,1.734595
-1.573120,-0.149603,1.761130
-1.529280,-0.216069,1.783775
-1.482009,-0.281904,1.802323
-1.430288,-0.348033,1.816770
-1.373378,-0.415222,1.827208
-1.311260,-0.483766,1.833946
-1.244264,-0.553678,1.837338
-1.173118,-0.624681,1.837826
-1.098572,-0.696421,1.835781
-1.021584,-0.768433,1.831651
-0.942942,-0.840333,1.825781
-0.863490,-0.911666,1.818486
-0.783750,-0.982077,1.809863
-0.704062,-1.051212,1.799836
-0.624479,-1.118744,1.788103
-0.545080,-1.184288,1.774364
-0.465993,-1.247410,1.758361
-0.387804,-1.307474,1.740118
-0.311289,-1.363830,1.719834
-0.237334,-1.415860,1.697834
-0.166450,-1.463205,1.674293
-0.098602,-1.505878,1.649162
-0.033027,-1.544299,1.622042
0.031375,-1.579113,1.592401
0.095888,-1.611111,1.559675
0.161498,-1.640982,1.523520
0.228822,-1.669274,1.483868
0.298020,-1.696383,1.440995
0.368984,-1.722607,1.395385
0.441343,-1.748156,1.347708
