All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.022218,1.682626,-0.106147,-1.566479
0.022318,1.787600,-0.127509,-1.646311
0.022418,1.876005,-0.136492,-1.723536
0.022518,1.921862,-0.117441,-1.788283
0.022618,1.939881,-0.076136,-1.850470
0.022718,1.933927,-0.017363,-1.908495
0.022818,1.926832,0.048755,-1.971937
0.022918,1.920098,0.116089,-2.034132
0.023018,1.933228,0.172347,-2.102679
0.023118,1.954977,0.223239,-2.173083
0.023218,1.990282,0.264276,-2.247075
0.023318,2.050523,0.285720,-2.328307
0.023418,2.138515,0.287172,-2.420374
0.023518,2.203664,0.303562,-2.506639
0.023618,2.205948,0.357318,-2.567651
0.023718,2.154463,0.440020,-2.602966
0.023818,2.082201,0.536390,-2.629456
0.023918,2.003163,0.639531,-2.653782
0.024018,1.932951,0.738321,-2.681080
0.024118,1.894933,0.817728,-2.721229
0.024218,1.897309,0.875307,-2.780980
0.024318,1.925098,0.919776,-2.854320
0.024418,1.958012,0.960781,-2.930466
0.024518,1.984266,1.004544,-3.003443
0.024618,1.999436,1.053537,-3.070253
0.024718,2.010795,1.102335,-3.131581
0.024818,2.023238,1.146822,-3.187751
0.024918,2.029880,1.192386,-3.237859
0.025018,2.012846,1.250251,-3.276364
0.025118,1.971744,1.320190,-3.303785
0.025218,1.917875,1.396788,-3.326748
0.025318,1.863318,1.475422,-3.352920
0.025418,1.807791,1.556248,-3.381866
0.025518,1.754388,1.636233,-3.413031
0.025618,1.702052,1.715297,-3.444398
0.025718,1.648739,1.794518,-3.474157
0.025818,1.587519,1.876886,-3.497756
0.025918,1.521374,1.960530,-3.516236
0.026018,1.455250,2.042950,-3.532366
0.026118,1.399279,2.118369,-3.551051
0.026218,1.355350,2.184812,-3.572768
0.026318,1.319188,2.244381,-3.595761
0.026418,1.276892,2.304527,-3.613658
0.026518,1.222300,2.368043,-3.622837
0.026618,1.155762,2.434356,-3.622679
0.026718,1.085339,2.499759,-3.617305
0.026818,1.013398,2.563566,-3.608471
0.026918,0.942932,2.624160,-3.597936
0.027018,0.873813,2.681735,-3.586178
0.027118,0.806983,2.736454,-3.574586
0.027218,0.738756,2.790649,-3.561879
0.027318,0.668419,2.844733,-3.547622
0.027418,0.594977,2.899326,-3.531065
0.027518,0.520966,2.953023,-3.512792
0.027618,0.445815,3.005896,-3.491762
0.027718,0.367945,3.058811,-3.466992
0.027818,0.282859,3.114403,-3.436732
0.027918,0.191047,3.172365,-3.401653
0.028018,0.096919,3.230040,-3.364147
0.028118,0.009170,3.282508,-3.328548
0.028218,-0.067449,3.327107,-3.297183
0.028318,-0.132198,3.363139,-3.269964
0.028418,-0.189191,3.392476,-3.244194
0.028518,-0.243225,3.417660,-3.217014
0.028618,-0.300138,3.441923,-3.185290
0.028718,-0.362754,3.466631,-3.147299
0.028818,-0.431314,3.491721,-3.102763
0.028918,-0.503056,3.515468,-3.052984
0.029018,-0.575884,3.536485,-2.999048
0.029118,-0.649801,3.554686,-2.941293
0.029218,-0.727714,3.571839,-2.878928
0.029318,-0.811890,3.589470,-2.811425
0.029418,-0.902275,3.607972,-2.739253
0.029518,-0.995910,3.626208,-2.664094
0.029618,-1.089207,3.642732,-2.587862
0.029718,-1.179702,3.656574,-2.511826
0.029818,-1.266146,3.667221,-2.436545
0.029918,-1.347535,3.674257,-2.362486
0.030018,-1.422912,3.677404,-2.290266
0.030118,-1.491460,3.676327,-2.220365
0.030218,-1.552434,3.670580,-2.153116
0.030318,-1.606162,3.660116,-2.088191
0.030418,-1.654145,3.645310,-2.024494
0.030518,-1.699571,3.627333,-1.960012
0.030618,-1.745911,3.607583,-1.892680
0.030718,-1.795417,3.586861,-1.821066
0.030818,-1.847280,3.564505,-1.745371
0.030918,-1.899053,3.539135,-1.666750
0.031018,-1.947888,3.509297,-1.586689
0.031118,-1.993307,3.474891,-1.505638
0.031218,-2.036881,3.436976,-1.423080
0.031318,-2.081847,3.397509,-1.337653
0.031418,-2.130731,3.358199,-1.248394
0.031518,-2.185241,3.320319,-1.154730
0.031618,-2.244780,3.283848,-1.057172
0.031718,-2.307601,3.248088,-0.956808
0.031818,-2.370836,3.211744,-0.855353
0.031918,-2.432148,3.173793,-0.754319
0.032018,-2.489390,3.133433,-0.655259
0.032118,-2.541248,3.090284,-0.559250
0.032218,-2.585789,3.043568,-0.467492
0.032318,-2.621579,2.992623,-0.380671
0.032418,-2.647310,2.936658,-0.299110
0.032518,-2.663275,2.875523,-0.222120
0.032618,-2.670563,2.809431,-0.148589
0.032718,-2.671208,2.739055,-0.076980
0.032818,-2.666511,2.664820,-0.006322
0.032918,-2.657818,2.587320,0.064135
0.033018,-2.645769,2.506866,0.134643
0.033118,-2.631640,2.424136,0.205669
0.033218,-2.616957,2.339992,0.277717
0.033318,-2.604209,2.255778,0.351758
0.033418,-2.595494,2.172709,0.428505
0.033518,-2.592540,2.091872,0.508449
0.033618,-2.595039,2.013357,0.591091
0.033718,-2.601453,1.936700,0.675332
0.033818,-2.609053,1.860893,0.759498
0.033918,-2.615606,1.785190,0.842227
0.034018,-2.619396,1.709123,0.922432
0.034118,-2.620003,1.632825,0.999731
0.034218,-2.617033,1.556318,1.073847
0.034318,-2.610426,1.479669,1.144731
0.034418,-2.599541,1.402467,1.212155
0.034518,-2.583752,1.324145,1.276004
0.034618,-2.562093,1.243887,1.336026
0.034718,-2.534052,1.161112,1.392186
0.034818,-2.499002,1.075240,1.444356
0.034918,-2.456894,0.986123,1.492592
0.035018,-2.407639,0.893658,1.536916
0.035118,-2.351764,0.798093,1.577651
0.035218,-2.290216,0.699901,1.615336
0.035318,-2.224987,0.600064,1.651044
0.035418,-2.158377,0.499730,1.685975
0.035518,-2.093010,0.400300,1.721367
0.035618,-2.030623,0.302815,1.757897
0.035718,-1.972137,0.208049,1.795664
0.035818,-1.917327,0.116311,1.834066
0.035918,-1.865566,0.027748,1.872249
0.036018,-1.815885,-0.057669,1.909205
0.036118,-1.767711,-0.139812,1.944184
0.036218,-1.720400,-0.218717,1.976549
0.036318,-1.673423,-0.294474,2.005856
0.036418,-1.625792,-0.367560,2.031604
0.036518,-1.576262,-0.438737,2.053342
0.036618,-1.523240,-0.509042,2.070566
0.036718,-1.465493,-0.579386,2.083029
0.036818,-1.402100,-0.650540,2.090672
0.036918,-1.332892,-0.722839,2.093761
0.037018,-1.258092,-0.796381,2.092700
0.037118,-1.178380,-0.870995,2.088048
0.037218,-1.094530,-0.946437,2.080328
0.037318,-1.007610,-1.022308,2.070149
0.037418,-0.918604,-1.098233,2.058009
0.037518,-0.828612,-1.173693,2.044356
0.037618,-0.738432,-1.248210,2.029393
0.037718,-0.648659,-1.321271,2.013126
0.037818,-0.559522,-1.392399,1.995293
0.037918,-0.471187,-1.461083,1.975597
0.038018,-0.383770,-1.526814,1.953737
0.038118,-0.297762,-1.588938,1.929653
0.038218,-0.213804,-1.646825,1.903435
0.038318,-0.132648,-1.699903,1.875299
0.038418,-0.054716,-1.747864,1.845337
0.038518,0.020055,-1.790756,1.813471
0.038618,0.092389,-1.829020,1.779338
0.038718,0.163305,-1.863308,1.742497
0.038818,0.234003,-1.894419,1.702503
0.038918,0.305419,-1.923062,1.659128
0.039018,0.378188,-1.949827,1.612366
0.039118,0.452559,-1.975170,1.562487
0.039218,0.528568,-1.999456,1.509896
