All calculations,DSN\400 kV B1,DSN\400 kV B1,DSN\400 kV B1
"Time in s","Phase Voltage A in kV","Phase Voltage B in kV","Phase Voltage C in kV"
0.041400,275.906964,-25.495017,-250.403192
0.041500,271.684267,-15.909296,-255.767992
0.041600,267.183847,-6.306289,-260.872322
0.041700,262.411018,3.302838,-265.710332
0.041800,257.371831,12.906849,-270.276856
0.041900,252.072994,22.494521,-274.567383
0.042000,246.521768,32.054729,-278.578017
0.042100,240.725836,41.576541,-282.305468
0.042200,234.693176,51.049326,-285.747056
0.042300,228.431926,60.462855,-288.900684
0.042400,221.950249,69.807403,-291.764789
0.042500,215.256214,79.073793,-294.338274
0.042600,208.357745,88.253378,-296.620407
0.042700,201.262542,97.338121,-298.610757
0.042800,193.977979,106.320400,-300.309158
0.042900,186.511032,115.193150,-301.715664
0.043000,178.868356,123.949812,-302.830393
0.043100,171.056307,132.584151,-303.653474
0.043200,163.081041,141.090129,-304.184982
0.043300,154.948570,149.461769,-304.424937
0.043400,146.664834,157.693046,-304.373305
0.043500,138.235891,165.777670,-304.029983
0.043600,129.667880,173.709352,-303.394754
0.043700,120.967156,181.481438,-302.467297
0.043800,112.140482,189.086823,-301.247314
0.043900,103.195116,196.517995,-299.734525
0.044000,94.138825,203.767016,-297.928787
0.044100,84.979962,210.825586,-295.830121
0.044200,75.727500,217.685030,-293.438780
0.044300,66.390982,224.336352,-290.755338
0.044400,56.980580,230.770411,-287.780814
0.044500,47.507053,236.978111,-284.516728
0.044600,37.981534,242.950484,-280.965170
0.044700,28.415476,248.678793,-277.128855
0.044800,18.820590,254.154658,-273.011137
0.044900,9.208750,259.370180,-268.616026
0.045000,-0.408146,264.318145,-263.948183
0.045100,-10.018367,268.992174,-259.012896
0.045200,-19.610491,273.386768,-253.816052
0.045300,-29.173491,277.497323,-248.364085
0.045400,-38.696816,281.320156,-242.663899
0.045500,-48.170468,284.852526,-236.722781
0.045600,-57.585060,288.092600,-230.548300
0.045700,-66.931870,291.039392,-224.148202
0.045800,-76.202829,293.692647,-217.530325
0.045900,-85.390422,296.052696,-210.702547
0.046000,-94.487688,298.120315,-203.672722
0.046100,-103.488021,299.896596,-196.448592
0.046200,-112.385103,301.382838,-189.037681
0.046300,-121.172894,302.580334,-181.447297
0.046400,-129.845431,303.490204,-173.684562
0.046500,-138.396654,304.113282,-165.756436
0.046600,-146.820284,304.450046,-157.669753
0.046700,-155.109715,304.500604,-149.431220
0.046800,-163.257885,304.264668,-141.047502
0.046900,-171.257384,303.741530,-132.525344
0.047000,-179.100493,302.930093,-123.871362
0.047100,-186.778934,301.829031,-115.092430
0.047200,-194.284051,300.436834,-106.195705
0.047300,-201.606817,298.752004,-97.188656
0.047400,-208.737999,296.773175,-88.079128
0.047500,-215.668238,294.499270,-78.875388
0.047600,-222.388108,291.929650,-69.586173
0.047700,-228.888269,289.064279,-60.220670
0.047800,-235.159657,285.903853,-50.788706
0.047900,-241.193659,282.449893,-41.300502
0.048000,-246.982138,278.704874,-31.766638
0.048100,-252.517549,274.672215,-22.198053
0.048200,-257.792966,270.356289,-12.605988
0.048300,-262.802190,265.762371,-3.001910
0.048400,-267.539860,260.896574,6.602653
0.048500,-272.001474,255.765759,16.196265
0.048600,-276.183332,250.377428,25.767681
0.048700,-280.082472,244.739568,35.305935
0.048800,-283.696628,238.860487,44.800439
0.048900,-287.024188,232.748655,54.241085
0.049000,-290.064120,226.412539,63.618342
0.049100,-292.815871,219.860468,72.923292
0.049200,-295.279220,213.100544,82.147592
0.049300,-297.454154,206.140577,91.283453
0.049400,-299.340784,198.988002,100.323624
0.049500,-300.939275,191.649806,109.261190
0.049600,-302.249761,184.132530,118.089662
0.049700,-303.272190,176.442376,126.802820
0.049800,-304.006273,168.585261,135.394516
0.049900,-304.451451,160.566929,143.858547
0.050000,-304.606949,152.393022,152.188546
0.050100,-304.471812,144.069185,160.377875
0.050200,-304.044916,135.601326,168.419512
0.050300,-303.325034,126.995418,176.306307
0.050400,-302.310902,118.257859,184.030601
0.050500,-301.001335,109.395533,191.584334
0.050600,-299.395327,100.415891,198.959073
0.050700,-297.492184,91.326966,206.146092
0.050800,-295.291621,82.137404,213.136471
0.050900,-292.793852,72.856487,219.921133
0.051000,-289.999679,63.494052,226.490934
0.051100,-286.910591,54.060632,232.836862
0.051200,-283.528810,44.567250,238.950218
0.051300,-279.857366,35.025260,244.822657
0.051400,-275.900070,25.446291,250.446302
0.051500,-271.661497,15.842173,255.813801
0.051600,-267.146931,6.224848,260.918427
0.051700,-262.362301,-3.393781,265.754208
0.051800,-257.314121,-13.002040,270.316000
0.051900,-252.009399,-22.588583,274.599465
0.052000,-246.455520,-32.142479,278.601028
0.052100,-240.660119,-41.653288,282.317850
0.052200,-234.630967,-51.111131,285.747808
0.052300,-228.375860,-60.506747,288.889443
0.052400,-221.902507,-69.831530,291.741873
0.052500,-215.218446,-79.077496,294.304676
0.052600,-208.331019,-88.237195,296.577753
0.052700,-201.247334,-97.303722,298.561221
0.052800,-193.974193,-106.270445,300.255338
0.052900,-186.518049,-115.131093,301.660438
0.053000,-178.885108,-123.879661,302.776753
0.053100,-171.081365,-132.510205,303.604351
0.053200,-163.112720,-141.016712,304.143065
0.053300,-154.985030,-149.392964,304.392515
0.053400,-146.704187,-157.632454,304.352127
0.053500,-138.276291,-165.728213,304.021155
0.053600,-129.707630,-173.673113,303.398677
0.053700,-121.004756,-181.459585,302.483638
0.053800,-112.174676,-189.079578,301.275032
0.053900,-103.224922,-196.524666,299.771929
0.054000,-94.163546,-203.786088,297.973639
0.054100,-84.999174,-210.854860,295.879765
0.054200,-75.741032,-217.721798,293.490298
0.054300,-66.398896,-224.377602,290.805722
0.054400,-56.983082,-230.813044,287.827141
0.054500,-47.504486,-237.019144,284.556337
0.054600,-37.974336,-242.987252,280.995800
0.054700,-28.404141,-248.709099,277.148779
0.054800,-18.805633,-254.176899,273.019243
0.054900,-9.190686,-259.383418,268.611883
0.055000,0.428809,-264.322128,263.932051
0.055100,10.041125,-268.987309,258.985705
0.055200,19.634838,-273.374055,253.779331
0.055300,29.198908,-277.478246,248.319861
0.055400,38.722755,-281.296547,242.614575
0.055500,48.196342,-284.826404,236.670990
0.055600,57.610235,-288.066010,230.496751
0.055700,66.955654,-291.014245,224.099527
0.055800,76.224484,-293.670589,217.486927
0.055900,85.409203,-296.035003,210.666464
0.056000,94.502875,-298.107811,203.645519
0.056100,103.498904,-299.889613,196.431297
0.056200,112.391055,-301.381212,189.030742
0.056300,121.173413,-302.583440,181.450582
0.056400,129.840185,-303.497036,173.697380
0.056500,138.385535,-304.122554,165.777602
0.056600,146.803428,-304.460319,157.697671
0.056700,155.087524,-304.510414,149.463999
0.056800,163.231017,-304.272648,141.083069
0.056900,171.226778,-303.746529,132.561608
0.057000,179.067325,-302.931268,123.906321
0.057100,186.744571,-301.825933,115.124266
0.057200,194.249995,-300.429443,106.222892
0.057300,201.574648,-298.740740,97.210024
0.057400,208.709307,-296.758861,88.093911
0.057500,215.644532,-294.483061,78.883254
0.057600,222.370727,-291.912942,69.587219
0.057700,228.878314,-289.048604,60.215356
0.057800,235.157928,-285.890764,50.777783
0.057900,241.200601,-282.440829,41.284966
0.058000,246.997801,-278.701024,31.747648
0.058100,252.541558,-274.674413,22.176840
0.058200,257.824516,-270.364927,12.583766
0.058300,262.840066,-265.777355,2.979799
0.058400,267.582485,-260.917305,-6.623689
0.058500,272.046981,-255.791154,-16.215465
0.058600,276.229648,-250.405968,-25.784512
0.058700,280.127420,-244.769394,-35.320097
0.058800,283.738038,-238.889523,-44.811861
0.058900,287.060006,-232.774746,-54.249896
0.059000,290.092516,-226.433603,-63.624819
0.059100,292.835339,-219.874639,-72.927819
0.059200,295.288672,-213.106307,-82.150615
0.059300,297.452994,-206.136888,-91.285451
0.059400,299.328936,-198.974381,-100.324992
0.059500,300.917200,-191.626381,-109.262233
0.059600,302.218430,-184.100066,-118.090580
0.059700,303.233049,-176.402233,-126.803684
0.059800,303.961171,-168.539330,-135.395276
0.059900,304.402558,-160.517523,-143.859037
0.060000,304.556642,-152.342740,-152.188508
0.060100,304.422548,-144.020760,-160.376977
0.060200,303.999102,-135.557456,-168.417436
0.060300,303.284895,-126.958616,-176.302760
0.060400,302.278375,-118.230269,-184.025360
0.060500,300.977968,-109.378803,-191.577282
0.060600,299.382207,-100.411056,-198.950237
0.060700,297.489882,-91.334382,-206.135675
0.060800,295.300164,-82.156723,-213.124856
0.060900,292.812721,-72.886679,-219.908859
0.061000,290.027852,-63.533452,-226.478674
0.061100,286.946604,-54.107014,-232.825397
0.061200,283.570841,-44.617972,-238.940389
0.061300,279.903329,-35.077419,-244.815314
0.061400,275.947720,-25.496900,-250.442227
0.061500,271.708545,-15.888334,-255.813642
0.061600,267.191162,-6.263921,-260.922639
0.061700,262.401687,3.364026,-265.763012
0.061800,257.346916,12.983287,-270.329348
0.061900,252.034222,22.581877,-274.617025
0.062000,246.471410,32.148162,-278.622183
0.062100,240.666578,41.670989,-282.341725
0.062200,234.627974,51.139795,-285.773309
0.062300,228.363856,60.544705,-288.915315
0.062400,221.882356,69.876598,-291.766772
0.062500,215.191386,79.127117,-294.327246
0.062600,208.298585,88.288591,-296.596717
0.062700,201.211271,97.354062,-298.575459
0.062800,193.936364,106.317009,-300.263969
0.062900,186.480334,115.171441,-301.662881
0.063000,178.849308,123.911767,-302.772765
0.063100,171.049122,132.532570,-303.594055
0.063200,163.085435,141.028434,-304.126955
0.063300,154.963812,149.393776,-304.371435
0.063400,146.689805,157.622726,-304.327229
0.063500,138.269163,165.708906,-303.993834
0.063600,129.707793,173.645720,-303.370485
0.063700,121.011904,181.426010,-302.456204
0.063800,112.188191,189.042015,-301.249958
